Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;SegmentSize;Mean;Error;StdDev;Median;Min;Max
CalculateDensities;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;10;"29,410.4 ns";577.290 ns;"1,139.513 ns";"29,607.7 ns";"21,801.7 ns";"30,031.8 ns"
GetPayloads;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;10;753.8 ns;4.405 ns;3.905 ns;752.8 ns;749.3 ns;764.5 ns
GetRealEvents;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;10;769.2 ns;1.372 ns;1.071 ns;768.7 ns;768.4 ns;771.3 ns
CalculateDensities;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;5000;"34,595.5 ns";395.644 ns;370.085 ns;"34,686.0 ns";"34,175.3 ns";"35,483.0 ns"
GetPayloads;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;5000;"1,061.5 ns";8.278 ns;6.912 ns;"1,059.8 ns";"1,054.8 ns";"1,080.6 ns"
GetRealEvents;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;5000;"1,308.9 ns";33.084 ns;45.286 ns;"1,299.3 ns";"1,291.0 ns";"1,526.8 ns"
CalculateDensities;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;10000;"39,704.0 ns";229.936 ns;215.082 ns;"39,749.2 ns";"39,414.0 ns";"40,068.9 ns"
GetPayloads;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;10000;"2,435.1 ns";5.551 ns;5.193 ns;"2,433.7 ns";"2,429.1 ns";"2,445.9 ns"
GetRealEvents;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;10000;"5,876.2 ns";26.760 ns;23.722 ns;"5,863.1 ns";"5,854.6 ns";"5,928.0 ns"
CalculateDensities;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;100000;"261,544.9 ns";"1,678.209 ns";"1,487.689 ns";"261,659.3 ns";"259,388.2 ns";"265,059.8 ns"
